"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.fr/maps/place/Provence+%C3%A9lectrique+conseil+-+depannage+marseille/data=!4m7!3m6!1s0x12c9c0a1e7024077:0x376f469da718bd3a!8m2!3d43.2803439!4d5.3806472!16s%2Fg%2F11cmt24gjv!19sChIJd0AC56HAyRIROr0Yp51Gbzc?authuser=0&hl=fr&rclk=1","Provence électrique conseil - depannage marseille","4,9","(87)","Électricien","","·","Ouvert 24h/24","","","04 83 43 28 38","https://www.provence-electrique.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Électricien","très à l'écoute et professionnel !"""
"https://www.google.fr/maps/place/ZEN%E2%80%99TREPRISE/data=!4m7!3m6!1s0x40390bdc5b0cd465:0xaef78f65c51d981a!8m2!3d43.3186587!4d5.3853299!16s%2Fg%2F11x7145yd9!19sChIJZdQMW9wLOUARGpgdxWWP964?authuser=0&hl=fr&rclk=1","ZEN’TREPRISE","5,0","(8)","Électricien","·","De, Trav. Notre Dame Bon Secours","Fermé","· Ouvre à 09:00 sam.","·","06 32 03 75 16","https://www.tiktok.com/@mz_zentreprise?_t=ZN-8yWDcAZtsOs&_r=1","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Devis rapide, conseils clairs, installation propre et efficace.""","",""
"https://www.google.fr/maps/place/Entreprise+Martel+depuis+1952/data=!4m7!3m6!1s0x12c9c0c5f9beb5b1:0x1f97caffc4650456!8m2!3d43.2919615!4d5.3722963!16s%2Fg%2F1td1yf_s!19sChIJsbW--cXAyRIRVgRlxP_Klx8?authuser=0&hl=fr&rclk=1","Entreprise Martel depuis 1952","4,7","(28)","Électricien","·","66 D Rue Sainte","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","·","06 14 48 87 62","http://www.martel-renovation-marseille.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tout a été refait du sol au plafond et également la distribution des pièces.""","",""
"https://www.google.fr/maps/place/LBA+13/data=!4m7!3m6!1s0x12c9c067970ab043:0xc7275853213eb01!8m2!3d43.327114!4d5.3741594!16s%2Fg%2F11vzbmq16v!19sChIJQ7AKl2fAyRIRAesTMoV1cgw?authuser=0&hl=fr&rclk=1","LBA 13","","","Service d'installation électrique","·","151 Bd Danielle Casanova","Fermé","· Ouvre à 09:00 lun.","·","09 72 59 93 05","","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/Nico+Elec+13/data=!4m7!3m6!1s0x12c9c72250a74a33:0x179620dfe7ba158c!8m2!3d43.2666715!4d5.3871545!16s%2Fg%2F11yw97v3cw!19sChIJM0qnUCLHyRIRjBW6598glhc?authuser=0&hl=fr&rclk=1","Nico Elec 13","5,0","(5)","Électricien","·","88 Av. de Mazargues","Ouvert 24h/24","","·","06 51 13 24 05","https://sites.google.com/view/nico-elec-13/accueil","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/SCLE+SFE+Marseille/data=!4m7!3m6!1s0x12c9c0431fd78669:0x63f0819138b176bf!8m2!3d43.3335401!4d5.3685932!16s%2Fg%2F113g33yc8!19sChIJaYbXH0PAyRIRv3axOJGB8GM?authuser=0&hl=fr&rclk=1","SCLE SFE Marseille","5,0","(4)","Ingénieur électricien","·","·","Fermé","· Ouvre à 08:00 lun.","35 Bd Capitaine Gèze","04 91 03 04 24","https://scle.fr/","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/IMCR/data=!4m7!3m6!1s0x12c9c04ebffea471:0x4c14e97b49f1f956!8m2!3d43.3332038!4d5.3586926!16s%2Fg%2F1td3b9fc!19sChIJcaT-v07AyRIRVvnxSXvpFEw?authuser=0&hl=fr&rclk=1","IMCR","","","Service d'installation électrique","·","258 Chem. de la Madrague-Ville","","","","04 95 05 37 30","http://www.imcr.net/","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/AM+ELEC/data=!4m7!3m6!1s0x42e5c84b7d62f0b3:0xc084bb0f91dc86a3!8m2!3d43.2807613!4d5.3823585!16s%2Fg%2F11wx2_k8hj!19sChIJs_BifUvI5UIRo4bckQ-7hMA?authuser=0&hl=fr&rclk=1","AM ELEC","","","Électricien","·","287 Rue Paradis","Fermé","· Ouvre à 08:00 sam.","·","06 18 07 12 95","https://arturzogo.github.io/amelec/","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Maneo+%C3%89nergie+:+installateur+borne+de+recharge+%C3%A0+Marseille+%2813%29/data=!4m7!3m6!1s0x4209edeec7bf4ca9:0x2c1135f3d386f779!8m2!3d43.3441619!4d5.3503234!16s%2Fg%2F11pzfd7013!19sChIJqUy_x-7tCUIRefeG0_M1ESw?authuser=0&hl=fr&rclk=1","Maneo Énergie : installateur borne de recharge à Marseille (13)","4,3","(303)","Électricien","·","29 Trav. Santi","Fermé","· Ouvre à 08:00 lun.","","","https://maneo-energie.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Installation de ma borne de recharge électrique réalisée à la perfection !""","",""
"https://www.google.fr/maps/place/Alarcor+Christian/data=!4m7!3m6!1s0x12c9bf5134fd30ad:0x5473b476a8947461!8m2!3d43.2858462!4d5.399322!16s%2Fg%2F1tfhwssk!19sChIJrTD9NFG_yRIRYXSUqHa0c1Q?authuser=0&hl=fr&rclk=1","Alarcor Christian","4,8","(34)","Atelier de mécanique automobile","·","·","Fermé","· Ouvre à 07:00 lun.","8 A Rue Gorde","04 91 79 89 56","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent électromécanicien.""","",""
